show_id,type,title,date_added,release_year,rating,duration,listed_in,description
s20,Movie,Enchanted,12-Nov-21,2007,PG,110 min,"Comedy, Family, Fantasy",An animated princess winds up in the real world of modern-day Manhattan.
s21,Movie,Feast,12-Nov-21,2014,G,8 min,"Animation, Comedy, Drama",One man's love life seen through the eyes of his dog.
s22,Movie,Frozen Fever,12-Nov-21,2015,G,11 min,"Animation, Family, Fantasy",Elsa wants to give Anna the best birthday party ever.
s23,Movie,Get a Horse!,12-Nov-21,2013,G,7 min,"Action-Adventure, Animation, Comedy",Mickey and friends hitch a ride on a musical hay wagon.
s24,Movie,Home Sweet Home Alone,12-Nov-21,2021,PG,95 min,"Comedy, Family","Alone for the holidays, Max Mercer will do whatever it takes to protect his home from trespassers."
s25,Movie,Jungle Cruise,12-Nov-21,2021,PG-13,129 min,"Action-Adventure, Comedy, Family",Dr. Lily Houghton & skipper Frank Wolff team up for a wild ride on the Amazon.
s26,Movie,Limitless with Chris Hemsworth,12-Nov-21,2021,TV-14,2 min,Lifestyle,"""Limitless with Chris Hemsworth"" is coming to Disney+ in 2022."
s27,Movie,Marvel Studios’ 2021 Disney+ Day Special,12-Nov-21,2021,TV-PG,14 min,Movies,"Marvel Studios’ Disney+ Day Special explores the Disney+ series of the MCU – past, present and future."
s28,Movie,Obi-Wan Kenobi,12-Nov-21,2021,TV-PG,1 min,"Action-Adventure, Science Fiction","A behind the scenes look of the ""Obi-Wan Kenobi"" special event series. Coming to Disney+ in 2022."
s29,TV Show,Olaf Presents,12-Nov-21,2021,TV-PG,1 Season,"Animation, Family",Olaf goes from snowman to showman for his unique retelling of five favorite Disney Animation tales.
s30,Movie,Paperman,12-Nov-21,2012,G,7 min,"Animation, Comedy, Family",A young man strives to find girl of his dreams.
s31,Movie,Pixar 2021 Disney+ Day Special,12-Nov-21,2021,G,5 min,Movies,Join Pete Docter for a tour around Pixar and get a sneak peek at several upcoming Disney+ releases.
s32,Movie,Shang-Chi and The Legend of The Ten Rings,12-Nov-21,2021,PG-13,134 min,"Action-Adventure, Fantasy, Superhero","Shang-Chi must confront his father, leader of the Ten Rings organization."
s33,Movie,Spin,12-Nov-21,2021,TV-G,94 min,"Coming of Age, Music",Rhea discovers her passion for creating DJ mixes!
s34,Movie,Tangled Ever After,12-Nov-21,2012,G,9 min,"Animation, Family",It's up to Max and Pascal to save the royal wedding.
